index,score
"(5193, '37169')",0.30000034
"(5193, '43147')",0.006787453
"(5193, '9715')",0.574105203
"(5193, '26192')",0.008137238
"(5193, '37770')",0.006774912
"(5193, '39141')",0.005037026
"(5193, '4618')",0.010600014
"(5193, '30131')",0.007079893
"(5193, '34866')",0.008279492
"(5193, '25176')",0.570919156
"(5193, '14894')",0.005922591
"(5193, '9910')",0.425217867
"(5193, '3589')",0.01155682
"(5193, '23967')",0.006595362
"(5193, '18247')",0.007409106
"(5193, '7391')",0.31464237
"(5193, '7058')",0.0079991
"(5193, '11459')",0.556183398
"(5193, '37932')",0.007283318
"(5193, '6793')",0.00723896
"(5193, '4264')",0.337391108
"(5193, '35112')",0.526349247
"(5193, '14304')",0.006644599
"(5193, '1912')",0.293098509
"(5193, '34203')",0.007349179
"(5193, '26009')",0.445330799
"(5193, '8186')",0.007365554
"(5193, '502')",0.013000756
"(5193, '17860')",0.006097648
"(5193, '25826')",0.01231725
"(5193, '18122')",0.54381448
"(5193, '38641')",0.007988504
"(5193, '6679')",0.005022849
"(5193, '20860')",0.006427987
"(5193, '30050')",0.007055379
"(5193, '22411')",0.007058062
"(5193, '26483')",0.008144026
"(5193, '18537')",0.514222443
"(5193, '13405')",0.004608938
"(5193, '678')",0.525739133
"(5193, '8799')",0.00760271
"(5193, '1380')",0.078960277
"(5193, '13546')",0.563978255
"(5193, '33666')",0.565394521
"(5193, '6485')",0.006034995
"(5193, '10134')",0.186256394
"(5193, '6539')",0.008044887
"(5193, '11768')",0.005367578
"(5193, '36165')",0.005658776
"(5193, '34060')",0.329558492
"(5193, '18391')",0.020007068
"(5193, '3469')",0.006887687
"(5193, '12385')",0.218248218
"(5193, '11863')",0.520318985
"(5193, '5663')",0.008389294
"(5193, '26845')",0.004827824
"(5193, '17110')",0.005465723
"(5193, '41759')",0.00763381
"(5193, '8426')",0.005726504
"(5193, '19398')",0.006382386
"(5193, '2371')",0.004738147
"(5193, '36586')",0.005978572
"(5193, '24986')",0.007100673
"(5193, '3929')",0.553071558
"(5193, '20508')",0.005988431
"(5193, '23203')",0.004800515
"(5193, '30984')",0.005614585
"(5193, '32260')",0.006221098
"(5193, '30058')",0.006983168
"(5193, '7263')",0.006956967
"(5193, '34277')",0.00613303
"(5193, '10048')",0.578177869
"(5193, '18005')",0.569130063
"(5193, '11277')",0.025785953
"(5193, '10329')",0.005883804
"(5193, '42135')",0.034749798
"(5193, '479')",0.007396608
"(5193, '33967')",0.159969136
"(5193, '24752')",0.025785953
"(5193, '42388')",0.007343449
"(5193, '32030')",0.546218395
"(5193, '9418')",0.506799519
"(5193, '14900')",0.006440827
"(5193, '30437')",0.490778863
"(5193, '12180')",0.008878871
"(5193, '17633')",0.502940893
"(5193, '14826')",0.007256987
"(5193, '25340')",0.215430349
"(5193, '19967')",0.127261981
"(5193, '25415')",0.135140359
"(5193, '35626')",0.19171901
"(5193, '27200')",0.008592222
"(5193, '39328')",0.54132086
"(5193, '15591')",0.006940333
"(5193, '40336')",0.514241457
"(5193, '29387')",0.005025406
"(5193, '32215')",0.013057542
"(5193, '23280')",0.007487995
"(5193, '21460')",0.541442573
"(5193, '43784')",0.00977381
"(-991, '13664')",0.570319235
"(-991, '275')",0.07408797
"(-991, '7007')",0.009921652
"(-991, '1355')",0.007787025
"(-991, '24060')",0.007704493
"(-991, '36103')",0.557381451
"(-991, '11035')",0.525020063
"(-991, '24328')",0.005151826
"(-991, '7730')",0.5383389
"(-991, '38631')",0.595614791
"(-991, '2519')",0.497895271
"(-991, '39932')",0.005692705
"(-991, '36123')",0.346096724
"(-991, '4902')",0.006865826
"(-991, '9814')",0.006732443
"(-991, '164')",0.562228382
"(-991, '3073')",0.006500158
"(-991, '30272')",0.212730736
"(-991, '14337')",0.476688802
"(-991, '43197')",0.299609691
"(-991, '40514')",0.008345448
"(-991, '37955')",0.007039142
"(-991, '10780')",0.009073925
"(-991, '25464')",0.006922646
"(-991, '42125')",0.006625396
"(-991, '4291')",0.009427287
"(-991, '27662')",0.007048678
"(-991, '26722')",0.0080283
"(-991, '31928')",0.006823082
"(-991, '29432')",0.415881097
"(-991, '7086')",0.005354751
"(-991, '31047')",0.007511523
"(-991, '27459')",0.572492301
"(-991, '19498')",0.005945816
"(-991, '13184')",0.008309721
"(-991, '25325')",0.008085562
"(-991, '9616')",0.549094737
"(-991, '21830')",0.008813583
"(-991, '23037')",0.012863427
"(-991, '5922')",0.007121759
"(-991, '42666')",0.537992537
"(-991, '25934')",0.011030907
"(-991, '37523')",0.005799834
"(-991, '8610')",0.020820128
"(-991, '36240')",0.321348935
"(-991, '19111')",0.501375139
"(-991, '7736')",0.303289205
"(-991, '30004')",0.007576635
"(-991, '35961')",0.126058787
"(-991, '31306')",0.011100918
"(-991, '15216')",0.095903128
"(-991, '20102')",0.006424057
"(-991, '8712')",0.007098666
"(-991, '37965')",0.458169043
"(-991, '14182')",0.406046987
"(-991, '38839')",0.008903159
"(-991, '27840')",0.259990633
"(-991, '767')",0.007262337
"(-991, '19508')",0.090373404
"(-991, '13918')",0.006498489
"(-991, '27404')",0.539260507
"(-991, '14710')",0.198818624
"(-991, '163')",0.022326296
"(-991, '43777')",0.0060829
"(-991, '7461')",0.005778592
"(-991, '39471')",0.006971526
"(-991, '24939')",0.205154359
"(-991, '9461')",0.005160639
"(-991, '28731')",0.007958884
"(-991, '1036')",0.496934831
"(-991, '16776')",0.006576188
"(-991, '40191')",0.006166665
"(-991, '11184')",0.516302288
"(-991, '2470')",0.006697132
"(-991, '29798')",0.295729637
"(-991, '23283')",0.521069407
"(-991, '19592')",0.007322918
"(-991, '31238')",0.008844487
"(-991, '3340')",0.533284783
"(-991, '24080')",0.0063676
"(-991, '11917')",0.420482904
"(-991, '39922')",0.007810341
"(-991, '33751')",0.309944302
"(-991, '13805')",0.524949312
"(-991, '13886')",0.005454555
"(-991, '9491')",0.292111784
"(-991, '39644')",0.006463821
"(-991, '15380')",0.012576527
"(-991, '1231')",0.006640955
"(-991, '526')",0.427478343
"(-991, '9951')",0.010056071
"(-991, '3864')",0.008181005
"(-991, '13172')",0.515663147
"(-991, '6098')",0.050197765
"(-991, '4099')",0.005937671
"(-991, '18006')",0.00643612
"(-991, '19427')",0.01383869
"(-991, '3662')",0.199672222
"(-991, '41863')",0.006807906
"(-991, '22792')",0.006018125
"(6094, '9584')",0.008535125
"(6094, '14910')",0.028010407
"(6094, '21926')",0.130172879
"(6094, '17479')",0.015194663
"(6094, '8504')",0.227272063
"(6094, '24184')",0.008750076
"(6094, '11163')",0.005978086
"(6094, '23093')",0.177690372
"(6094, '37174')",0.087827146
"(6094, '8920')",0.007783291
"(6094, '18949')",0.013172247
"(6094, '33777')",0.007241953
"(6094, '9978')",0.013414907
"(6094, '16186')",0.007814056
"(6094, '967')",0.012109607
"(6094, '22461')",0.012522748
"(6094, '21742')",0.226364419
"(6094, '41076')",0.089057654
"(6094, '19557')",0.008611069
"(6094, '24391')",0.072913028
"(6094, '8489')",0.005832637
"(6094, '11972')",0.005765347
"(6094, '6429')",0.007991351
"(6094, '8290')",0.045012824
"(6094, '10051')",0.008300881
"(6094, '20995')",0.013540758
"(6094, '23848')",0.008009622
"(6094, '32383')",0.011430515
"(6094, '15376')",0.026039962
"(6094, '38488')",0.008924356
